state,state_abbr,reports,pct_of_total
Texas,TX,729,19.8
Pennsylvania,PA,246,6.7
Ohio,OH,217,5.9
Indiana,IN,184,5.0
Georgia,GA,170,4.6
Missouri,MO,135,3.7
Illinois,IL,125,3.4
Michigan,MI,120,3.3
Virginia,VA,117,3.2
Arizona,AZ,81,2.2
Kentucky,KY,81,2.2
New York,NY,81,2.2
Florida,FL,77,2.1
California,CA,76,2.1
Utah,UT,76,2.1
North Carolina,NC,74,2.0
Oklahoma,OK,71,1.9
Maryland,MD,68,1.9
Kansas,KS,55,1.5
West Virginia,WV,55,1.5
South Carolina,SC,55,1.5
Tennessee,TN,52,1.4
Washington,WA,50,1.4
Arkansas,AR,50,1.4
New Jersey,NJ,48,1.3
Oregon,OR,47,1.3
Wisconsin,WI,47,1.3
Alabama,AL,43,1.2
Iowa,IA,42,1.1
Colorado,CO,39,1.1
Nevada,NV,38,1.0
Minnesota,MN,36,1.0
Louisiana,LA,30,0.8
Mississippi,MS,30,0.8
Idaho,ID,30,0.8
North Dakota,ND,28,0.8
Wyoming,WY,26,0.7
Montana,MT,24,0.7
Nebraska,NE,23,0.6
New Mexico,NM,15,0.4
Maine,ME,12,0.3
Connecticut,CT,8,0.2
South Dakota,SD,7,0.2
Massachusetts,MA,6,0.2
Delaware,DE,6,0.2
Alaska,AK,6,0.2
New Hampshire,NH,5,0.1
Rhode Island,RI,2,0.1
Hawaii,HI,1,0.0
